2025-10-08T18:18:17+02:00 | callback.php | GET=error=unauthorized_client&error_description=Client+with+id+ceaca19ac9454fcca421f31673cf6eff+does+not+have+the+privilege+to+generate+an+authorization+code | COOKIE={"abuse_interstitial":"psychrometric-unlighted-mandie.ngrok-free.dev","PHPSESSID":"mqcm6rc31qb9o5t898d2leu0on"} | SESSION={"oauth_state":"0535b589528f1a370f27e8f95ab161ca"}
2025-10-08T18:18:17+02:00 | callback.php | oauth_error=unauthorized_client | description=Client with id ceaca19ac9454fcca421f31673cf6eff does not have the privilege to generate an authorization code
2025-10-08T18:18:47+02:00 | callback.php | session_id=mqcm6rc31qb9o5t898d2leu0on | incoming_state=(none) | stored_state=0535b589528f1a370f27e8f95ab161ca
2025-10-08T18:18:47+02:00 | callback.php | GET=error=unauthorized_client&error_description=Client+with+id+ceaca19ac9454fcca421f31673cf6eff+does+not+have+the+privilege+to+generate+an+authorization+code | COOKIE={"abuse_interstitial":"psychrometric-unlighted-mandie.ngrok-free.dev","PHPSESSID":"mqcm6rc31qb9o5t898d2leu0on"} | SESSION={"oauth_state":"0535b589528f1a370f27e8f95ab161ca"}
2025-10-08T18:18:47+02:00 | callback.php | oauth_error=unauthorized_client | description=Client with id ceaca19ac9454fcca421f31673cf6eff does not have the privilege to generate an authorization code
2025-10-08T18:18:49+02:00 | callback.php | session_id=mqcm6rc31qb9o5t898d2leu0on | incoming_state=(none) | stored_state=0535b589528f1a370f27e8f95ab161ca
2025-10-08T18:18:49+02:00 | callback.php | GET=error=unauthorized_client&error_description=Client+with+id+ceaca19ac9454fcca421f31673cf6eff+does+not+have+the+privilege+to+generate+an+authorization+code | COOKIE={"abuse_interstitial":"psychrometric-unlighted-mandie.ngrok-free.dev","PHPSESSID":"mqcm6rc31qb9o5t898d2leu0on"} | SESSION={"oauth_state":"0535b589528f1a370f27e8f95ab161ca"}
2025-10-08T18:18:49+02:00 | callback.php | oauth_error=unauthorized_client | description=Client with id ceaca19ac9454fcca421f31673cf6eff does not have the privilege to generate an authorization code
2025-10-08T18:18:59+02:00 | callback.php | session_id=mqcm6rc31qb9o5t898d2leu0on | incoming_state=(none) | stored_state=0535b589528f1a370f27e8f95ab161ca
2025-10-08T18:18:59+02:00 | callback.php | GET=error=unauthorized_client&error_description=Client+with+id+ceaca19ac9454fcca421f31673cf6eff+does+not+have+the+privilege+to+generate+an+authorization+code | COOKIE={"abuse_interstitial":"psychrometric-unlighted-mandie.ngrok-free.dev","PHPSESSID":"mqcm6rc31qb9o5t898d2leu0on"} | SESSION={"oauth_state":"0535b589528f1a370f27e8f95ab161ca"}
